title,text,label
"Breaking News","A new study confirms that most people prefer healthy diets.",1
"Shocking Discovery","A famous celebrity is reportedly linked to a secret event.",0
"Local Update","The city council approved a new public park project.",1
"Rumor Alert","The moon landing was faked by government agencies.",0
"Health Report","Doctors recommend regular exercise and balanced meals.",1
"Scandal Story","A politician was seen at an unusual location last night.",0
"Community News","Volunteers cleaned the beach and planted trees.",1
"Conspiracy Claim","Aliens are controlling the weather according to anonymous sources.",0
"Science Update","Researchers published evidence for a new clean energy method.",1
"Fake Alert","The internet says a miracle cure can prevent all diseases.",0
